ka,eqution,N_terms,dps,meanabserr_db,maxabserr_db,Anresidual,commit 
3,5+2ka/sin(alpha),11,50,0.51,2.05,1.54E-54,377abf…
3,10+2ka/sin(alpha),16,50,0.47,1.9,2.57E-53,377abf…
3,20+2ka/sin(alpha),26,50,0.44,1.85,8.04E-51,377abf…
3,5+2ka/sin(alpha),11,100,0.51,2.05,1.06E-104,377abf…
3,10+2ka/sin(alpha),16,100,0.47,1.9,7.97E-104,377abf…
3,20+2ka/sin(alpha),26,100,0.44,1.85,3.87E-101,377abf…
3,5+2ka/sin(alpha),11,200,0.51,2.05,1.34E-204,377abf…
3,10+2ka/sin(alpha),16,200,0.47,1.9,1.47E-203,377abf…
3,20+2ka/sin(alpha),26,200,0.44,1.85,4.71E-201,377abf…
5,NA,11,50,1.07,3.72,1.60E-54,377abf…
5,NA,16,50,1.5,4.51,1.57E-53,377abf…
5,NA,26,50,1.74,4.75,9.54E-51,377abf…
5,NA,11,100,1.07,3.72,1.02E-104,377abf…
5,NA,16,100,1.5,4.51,9.91E-104,377abf…
5,NA,26,100,1.74,4.75,4.18E-101,377abf…
5,NA,11,200,1.07,3.72,6.73E-205,377abf…
5,NA,16,200,1.5,4.51,1.16E-203,377abf…
5,NA,26,200,1.73,4.75,7.46E-201,377abf…
