,0,1,2,3,4
0,-28.579811096191406,-33.887474060058594,-18.12923812866211,-9.839569091796875,-2.244215965270996
1,-20.29789161682129,-33.60929870605469,-22.004413604736328,-12.019116401672363,-3.645613431930542
2,-14.806312561035156,-30.853986740112305,-25.38593101501465,-15.213641166687012,-4.813645362854004
3,-8.120445251464844,-29.39602279663086,-27.27582550048828,-15.220730781555176,-5.583600997924805
4,-1.6088804006576538,-43.52951431274414,-20.39751434326172,-18.202571868896484,-7.015671253204346
5,-0.007858647033572197,-20.27289390563965,-29.88620376586914,-11.606551170349121,-8.509305953979492
6,-0.9424746632575989,-10.176553726196289,-27.151687622070312,-10.883447647094727,-10.511079788208008
7,-3.5472769737243652,-4.6298418045043945,-23.8881778717041,-19.473432540893555,-9.695058822631836
8,-11.946755409240723,-0.39860108494758606,-17.455368041992188,-14.740486145019531,-6.4007134437561035
9,-29.892898559570312,-0.577867329120636,-8.99324893951416,-14.8101806640625,-5.978471755981445
10,-20.47096061706543,-6.539843559265137,-1.458950400352478,-7.313615798950195,-4.921233654022217
11,-20.40300178527832,-18.773679733276367,-0.00011656561400741339,-0.6211568713188171,-0.6591899991035461
