rel_db_0deg,deg
-14.3969545491039,179.201369521139
-18.125951674918,175.627858643307
-20.7322404110779,168.184593856368
-21.635994275604,163.0654312522
-24.1228948923581,170.805814028851
-24.0397478026434,154.215389741293
-22.5398234154273,145.820291663706
-21.8619109408912,133.504702230581
-27.40082637767,170.256297588038
-25.838245228411,155.627399599925
-23.6995480802811,142.05652223811
-29.1585057809959,170.127712525766
-20.8655539857803,120.616681585932
-19.4430939873125,109.703380835735
-17.7569977290564,101.011316398763
-16.0914314376919,91.8627773395143
-14.7596189525551,84.8605860027864
-13.2331620987496,77.6615049465103
-11.2644160121022,71.5464489885114
-9.29759510324268,66.5171916557342
-7.46368106022667,62.1961211857345
-5.18687665420856,57.4557341750794
-3.35820454617709,51.8642177454503
-1.80606943325379,46.9026665125031
-0.620910467561973,40.674889446199
1.01353153735153,36.1342539970857
2.77536140307419,31.2260511233946
3.87720188208519,26.2199676979838
1.57441348353522,9.77139476343593
0.450599763731414,5.35612168718956
4.27377414800124,20.0831872890869
3.44264861572503,14.2462391793882
-13.3845570444151,181.573157866041
